ano;codigo_emenda;parlamentar;modalidade;valor_reais;status;fonte;coletado_em
2020;202081000389;RELATOR GERAL;Emendas de relator;2560525.36;Empenhada;Portal CR2 - Prefeitura de Picos;2026-09-01
2021;202141620013;MARINA SANTOS;Emenda Individual;0;Empenhada;Portal CR2 - Prefeitura de Picos;2026-09-01
2023;202371190002;BANCADA DO PIAUI;Emenda de Bancada;1000000;Empenhada;Portal CR2 - Prefeitura de Picos;2026-09-01
2023;202339540012;DAVID MIRANDA;Emenda Individual;200000;Executada Parcialmente;Portal CR2 - Prefeitura de Picos;2026-09-01
2023;202371060018;BANCADA DA BAHIA;Emenda de Bancada;230619.28;Liberada / Transferida;Portal CR2 - Prefeitura de Picos;2026-09-01
2023;202360110002;COM. DESENV REGIONAL E TURISMO;Emenda de Comissao;1912356;Empenhada;Portal CR2 - Prefeitura de Picos;2026-09-01
2023;202350100004;COM. AGRICULTURA PEC ABAST D. RURAL;Emenda de Comissao;938603.61;Executada Parcialmente;Portal CR2 - Prefeitura de Picos;2026-09-01
2023;202337880001;ELMANO FERRER;Emenda Individual;4651308;Empenhada;Portal CR2 - Prefeitura de Picos;2026-09-01
2023;202337880006;ELMANO FERRER;Emenda Individual;248692;Empenhada;Portal CR2 - Prefeitura de Picos;2026-09-01
2023;202312460005;JULIO CESAR;Emenda Individual;0;Empenhada;Portal CR2 - Prefeitura de Picos;2026-09-01
2023;202342280001;ELIANE NOGUEIRA;Emenda Individual;282400;Concluida;Portal CR2 - Prefeitura de Picos;2026-09-01
2023;202327070001;IRACEMA PORTELLA;Emenda Individual;2000000;Empenhada;Portal CR2 - Prefeitura de Picos;2026-09-01
2023;202371190001;BANCADA DO PIAUI;Emenda de Bancada;3253661;Empenhada;Portal CR2 - Prefeitura de Picos;2026-09-01
2023;202342280002;ELIANE NOGUEIRA;Emenda Individual;1000000;Empenhada;Portal CR2 - Prefeitura de Picos;2026-09-01
2024;202460060003;COM. ASSUNTOS SOCIAIS;Emenda de Comissao;7000000;Empenhada;Portal CR2 - Prefeitura de Picos;2026-09-01
2024;202429000001;CIRO NOGUEIRA;Emenda Individual;321800;Concluida;Portal CR2 - Prefeitura de Picos;2026-09-01
2024;202460110001;COM. DESENV REGIONAL E TURISMO;Emenda de Comissao;1000000;Empenhada;Portal CR2 - Prefeitura de Picos;2026-09-01
2024;202450410004;COM. DA SAUDE;Emenda de Comissao;2000000;Empenhada;Portal CR2 - Prefeitura de Picos;2026-09-01
2024;202443660020;DUDA SALABERT;Emenda Individual;300000;Executada Parcialmente;Portal CR2 - Prefeitura de Picos;2026-09-01
2024;202443970009;JACK ROCHA;Emenda Individual;100000;Executada Parcialmente;Portal CR2 - Prefeitura de Picos;2026-09-01
2024;202450410002;COM. DA SAUDE;Emenda de Comissao;6200070;Empenhada;Portal CR2 - Prefeitura de Picos;2026-09-01
2024;202471190008;BANCADA DO PIAUI;Emenda de Bancada;500000;Empenhada;Portal CR2 - Prefeitura de Picos;2026-09-01
2024;202443680020;ERIKA HILTON;Emenda Individual;400000;Executada Parcialmente;Portal CR2 - Prefeitura de Picos;2026-09-01
2024;202471190011;BANCADA DO PIAUI;Emenda de Bancada;700000;Concluida;Portal CR2 - Prefeitura de Picos;2026-09-01
2024;202450410005;COM. DA SAUDE;Emenda de Comissao;700000;Concluida;Portal CR2 - Prefeitura de Picos;2026-09-01
